yo	I, me 
triste	sad 
ver	to see 
tanto	used in making comparisons 
trabajar	to work 
usted	you 
venir	to come 
siempre	always 
sobre	over, about 
todo	all, every 
si	if 
sí	yes 
tú	you 
saber	to know 
salir	to leave 
pero	but 
se	itself, herself, himself, themselves 
quién	who 
sin	without 
también	also 
tener	to have, to possess 
más	more 
o	or 
nunca	never 
su	your, her, his, their 
haber	to have as an auxiliary verb 
ser	to be 
poner	to put 
hora	hour 
por	for, by 
pensar	to think 
entre	between, among 
llevar	to wear, to carry 
hacer	to do, to make 
leer	to read 
para	for, to 
primero	first 
nuevo	new 
sacar	to take out, to remove 
nosotros	we, us 
porque	because 
ir	to go 
país	country 
mujer	woman 
le	indirect-object pronoun 
encontrar	to find 
mismo	same 
a	to 
muy	very 
hola	hello 
querer	to want, to love 
grande	big, great 
deber	to owe, should 
poder	to be able 
bajo	low, under 
ahora	now 
otro	other 
gustar	to be pleasing 
desde	from 
bueno	good 
malo	bad 
casi	almost 
hasta	until 
amar	to love 
donde	where 
como	like, as 
durante	during 
dar	to give 
empezar	to begin 
gracias	thanks 
cosa	thing 
amigo	friend 
conocer	to know 
mucho	much 
andar	to walk 
no	no 
echar	to throw 
cuando	when 
decir	to say 
chico	boy 
estar	to be 
chica	girl 
adiós	goodbye 
antes	before 
comer	to eat 
entender	to understand 
escuchar	to listen, to listen to 
en	on, in 
hombre	man 
feliz	happy 
creer	to believe, to think 
bien	well as an adverb 
beber	to drink 
jjjjjjjjjjjjjjj	kkkkkkkkkkkkkkk
hellooo	helloo
